user_id,device_type,age,time
7141786820,desktop,33,2127
5644686960,mobile,30,35
1914055396,desktop,25,
4099355752,desktop,25,2123
6032477554,desktop,27,59
5872473344,mobile,27,
7977025176,mobile,,
3512872755,desktop,40,65
1827368713,desktop,37,
8688870165,desktop,36,2124
7172802697,mobile,30,
8623045648,desktop,34,2098
2083224479,desktop,29,
9819051388,desktop,40,2139
9312844109,mobile,,40
9396302801,mobile,32,48
6331906669,desktop,26,2117
6840899645,desktop,39,2113
5739438900,mobile,33,
7486955288,desktop,27,2066
3371598805,desktop,33,2063
4621852438,desktop,36,2117
1397217221,desktop,38,2112
6378849222,desktop,28,2071
6371752426,desktop,26,2056
6692242728,desktop,36,2057
4829502187,desktop,38,
7364229916,desktop,32,2117
4790428399,desktop,33,2069
808939090,desktop,37,2053
3149996649,desktop,25,2150
9760359799,desktop,27,2095
1028379048,mobile,27,
7298923004,mobile,27,49
1366696069,mobile,26,
3900130868,desktop,34,66
1695140798,desktop,25,2084
8960298917,mobile,31,46
579553850,desktop,35,2103
6236558508,mobile,37,
5811232627,desktop,34,2141
8993485863,desktop,26,
1572755675,desktop,38,2059
6034222291,desktop,33,2080
6917033819,mobile,26,38
3119028684,desktop,34,2075
8200327189,desktop,31,2085
9187911792,desktop,39,58
5500585570,desktop,33,2201
5062457902,mobile,27,
9248062594,desktop,32,
8625203036,desktop,36,2078
7860877940,desktop,35,2100
6331586375,desktop,35,2071
5724351127,desktop,30,2141
3988584004,desktop,36,2065
5690036640,desktop,35,2098
6709125805,desktop,38,2084
1373091995,desktop,25,2107
2069338274,desktop,26,2107
8744721527,desktop,31,2150
9052871127,desktop,35,
2724356246,desktop,25,65
6697055472,desktop,28,
4963633116,desktop,25,2150
5594502398,desktop,28,2093
9963049355,desktop,34,2059
3482688368,mobile,40,35
7084473064,desktop,33,2131
7818459711,desktop,33,
3997250471,desktop,38,2077
2461644673,mobile,38,32
8392282195,desktop,37,2061
8364684017,desktop,40,2123
4971245204,desktop,30,2056
2712621905,desktop,,2135
7686901492,desktop,37,2142
852879837,desktop,33,2114
2030977330,desktop,36,2106
4329843114,mobile,25,
5585974627,desktop,30,1999
7553084563,desktop,31,2126
5940658000,desktop,33,51
6171525057,desktop,40,2113
2950802860,mobile,26,52
7035465895,desktop,36,2088
8771734891,desktop,40,
3392996918,desktop,32,2148
5368472250,desktop,26,2084
9571861223,desktop,27,2127
1109478456,mobile,27,48
2116114102,desktop,37,2125
7142699835,mobile,36,51
6145767725,mobile,25,
4688361167,desktop,28,2090
7002614774,desktop,26,2149
5734278074,mobile,33,54
5943702905,desktop,,2106
7531574589,desktop,,2129
9450297626,desktop,30,2066
7557066181,mobile,37,
9784647385,desktop,27,2071
2471045301,desktop,30,2143
6005089749,desktop,,2107
2278608366,desktop,34,2139
7190116716,desktop,25,2127
3243170276,desktop,27,1999
5316644104,desktop,33,2075
706217671,desktop,29,67
5525648544,desktop,36,2051
4264247631,mobile,34,
1776356913,mobile,29,
1605683361,desktop,,2092
4729265075,mobile,35,49
1470656799,desktop,36,2135
5881154965,desktop,29,2088
1165629115,mobile,25,
9436564092,desktop,28,2147
5418620978,desktop,38,2140
9224817572,desktop,40,
6987735868,desktop,26,
651472785,mobile,30,39
2647253224,desktop,37,2097
2919399009,mobile,39,
5712251456,desktop,38,66
871209390,desktop,33,2149
9208706083,mobile,34,
1813473086,desktop,33,2061
9135495878,desktop,33,
7383201278,desktop,,68
8107720889,desktop,34,2129
2703564605,desktop,26,2069
9813127599,mobile,,
5829928067,desktop,37,2101
4507842622,desktop,40,2133
1026346487,mobile,25,33
3950254087,desktop,34,
3555246250,desktop,30,2088
146521971,desktop,36,2071
1014361153,mobile,33,
6804537668,mobile,35,36
6930063380,mobile,32,35
3584367173,desktop,34,2071
1543407293,desktop,32,66
624980980,desktop,34,63
2233575598,mobile,33,45
8060720642,desktop,28,2072
1574556049,desktop,35,2121
4159689106,desktop,37,2069
6850843059,desktop,28,60
6003925485,desktop,32,2129
5975416175,desktop,38,
8352630758,mobile,33,37
9583222811,desktop,26,
5555562205,mobile,40,
5283523782,desktop,,2140
7884898135,mobile,36,
4204375412,desktop,33,2054
9928704570,desktop,39,2124
5651839440,desktop,35,2070
9336727325,mobile,38,
1422416369,desktop,33,2053
9283255830,mobile,35,54
6153159599,desktop,,
1541716905,desktop,39,
5787133115,desktop,29,
7098553161,desktop,26,62
2456624718,desktop,35,
7187393845,desktop,30,2126
1453815746,mobile,33,44
1950466112,desktop,29,2123
6724868284,desktop,36,59
3693639142,desktop,27,2139
3963530281,desktop,32,2101
7292910564,desktop,29,60
5584170704,desktop,34,2132
5489473574,mobile,40,39
3359319304,mobile,38,
2599904809,desktop,30,2132
6127426518,desktop,40,2062
4262675413,desktop,35,2053
3597289612,mobile,29,48
6223263149,desktop,39,
2901674193,desktop,35,52
498453720,desktop,33,2073
7348399513,desktop,25,2071
111275238,desktop,27,51
687752122,desktop,32,2149
2079041705,desktop,32,
5915429329,desktop,40,2071
4357916655,desktop,34,2083
5902173933,desktop,31,2114
4192600651,desktop,35,2135
4613325140,desktop,27,2126
747286889,desktop,28,2102
7945098833,mobile,27,
6700414204,desktop,40,2129
2474460558,mobile,29,31
7525834251,desktop,40,2111
4806687064,desktop,26,2109
7494924810,mobile,39,
1469476957,desktop,35,2052
5986650152,desktop,32,2115
5289518512,mobile,38,44
2577252296,mobile,30,
5983231042,desktop,30,2143
6716293896,desktop,25,70
9858825573,mobile,29,
578616947,mobile,33,36
4817692544,desktop,29,
7115451319,mobile,35,
3490271629,mobile,31,40
5043884356,desktop,39,2079
247265936,desktop,31,68
8769373518,desktop,39,2099
2130749926,desktop,31,2084
5600692309,desktop,36,2059
1257823602,mobile,31,33
196797723,desktop,30,2121
9793124301,mobile,35,51
9493684354,desktop,29,2101
6513189995,mobile,37,
4669441698,desktop,31,2139
4613071904,mobile,32,44
4597103789,mobile,,45
9899833421,desktop,28,2105
7239623213,desktop,27,2054
4599061271,desktop,40,2117
5632666328,desktop,26,2118
4295654539,mobile,35,45
9723096766,desktop,35,65
6896229179,desktop,34,
3289595905,desktop,34,2111
6492970424,desktop,,
894794390,mobile,35,
7612057440,mobile,30,48
2254299945,desktop,25,
3984065441,desktop,30,
5570931779,desktop,26,62
8088377790,desktop,,
3414531026,desktop,28,
9155830971,mobile,25,36
5066002812,desktop,34,2051
4489112697,desktop,29,
4933149400,desktop,,2113
4668592410,mobile,39,49
822870685,mobile,38,41
8568621166,desktop,30,
4044794735,desktop,28,2090
2879885194,desktop,32,2149
2681438359,desktop,26,2068
3969629560,desktop,38,
7003176599,desktop,27,2109
4382178938,mobile,31,
837344606,desktop,30,2139
